id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
53099,53253,94510,4257,Gl 404.1,,,10.891559,-58.853171,29.1290,79.75,38.65,8.1,3.780,1.458,K0III-IV...,0.945,-14.436596,4.310989,-24.929960,-0.00001180,-0.00000823,-0.00000427,2.851403499090470,-1.0271816044207400,0.00000038663891024305600,0.000000187380487,,,Car,1,53099,,22.740499508959000,,,
53754,53910,95418,4295,Wo 9343,48Bet UMa,Merak,11.030677,56.382427,24.4499,81.66,33.74,-12.0,2.340,0.399,A1V,0.033,-13.103033,3.398358,20.360601,0.00000737,-0.00001191,-0.00000801,2.887824569114950,0.9840589862911810,0.00000039589885154166700,0.000000163576135,Bet,48,UMa,1,53754,,60.311481961781700,,,
53905,54061,95689,4301,,50Alp UMa,Dubhe,11.062155,61.751033,37.6790,-136.46,-35.25,-9.0,1.810,-1.070,F7V comp,1.061,-17.298705,4.334880,33.191332,0.00000478,0.00002450,-0.00001116,2.896065350203450,1.0777588446528100,-0.0000006615767484861110,-0.000000170896822,Alp,50,UMa,1,53905,,233.3458062281000,,,
54304,54463,96918,4337,,,,11.143165,-58.975037,100000.0000,-5.03,2.09,7.0,3.930,-16.070,G0Ia0,1.225,-50249.825140,11464.949662,-85694.282278,-0.00030767,0.00257126,0.00051607,2.917273675621380,-1.0293085683397100,-0.000000024386128131944400,0.000000010132605,,,Car,1,54304,,233345806.22810000,V382,3.991,3.901
54380,54539,96833,4335,,52Psi UMa,,11.161062,44.498487,44.3066,-62.35,-27.38,-4.0,3.000,-0.232,K1III,1.144,-30.843315,6.885330,31.054046,0.00000174,0.00001333,-0.00000706,2.921959184038360,0.7766451055076310,-0.0000003022813298263890,-0.000000132741985,Psi,52,UMa,1,54380,,107.84499632938300,,,
54712,54872,97603,4357,Gl 419,68Del Leo,Zosma,11.235138,20.523717,17.9147,143.31,-130.43,-20.2,2.560,1.294,A4V,0.128,-16.442201,3.337108,6.280742,0.00001259,-0.00001526,-0.00001785,2.941352165381750,0.3582064320032740,0.0000006947864856041670,-0.000000632342483,Del,68,Leo,1,54712,,26.448436268543600,,,
54718,54879,97633,4359,,70The Leo,,11.237335,15.429570,50.6073,-59.01,-79.37,8.0,3.330,-0.191,A2V,-0.003,-47.814213,9.675761,13.464276,-0.00000994,0.00001678,-0.00001659,2.9419274527251600,0.2692968010295930,-0.00000028608855289583300,-0.000000384796618,The,70,Leo,1,54718,,103.8484455008270,,,
55055,55219,98262,4377,,54Nu  UMa,,11.307983,33.094306,122.3990,-26.61,27.51,-9.0,3.490,-1.949,K3III SB,1.400,-100.864256,18.476143,66.832099,0.00001920,0.00001254,0.00000865,2.960423095171950,0.5776045970071260,-0.00000012900892039583300,0.000000133372243,Nu,54,UMa,1,55055,,524.3243172456370,,,
55118,55282,98430,4382,,12Del Crt,,11.322347,-14.778541,56.9476,-124.47,206.61,-5.0,3.560,-0.217,K0III,1.112,-54.199405,9.717642,-14.526390,-0.00000339,0.00003552,0.00005646,2.9641835698336000,-0.25793420535648100,-0.0000006034475881875,0.000001001673545,Del,12,Crt,1,55118,,106.36530750764400,,,
55260,55425,98718,4390,,Pi  Cen,,11.350117,-54.491019,109.6491,-35.32,-2.20,9.0,3.900,-1.300,B5Vn,-0.157,-62.768014,10.783606,-89.257117,-0.00000115,0.00001925,-0.00000817,2.9714537086833200,-0.951047698326625,-0.0000001712361919722220,-0.0000000106659,Pi,,Cen,1,55260,,288.40315031266100,,,
56044,56211,100029,4434,,1Lam Dra,,11.523407,69.331076,102.1450,-41.14,-18.79,7.0,3.820,-1.226,M0IIIvar,1.613,-35.773586,4.486959,95.570558,-0.00000861,0.00002161,0.00000341,3.0168208397919500,1.2100555469057100,-0.00000019945234818055600,-0.00000009109649,Lam,1,Dra,1,56044,,269.40149410636700,,,
56174,56343,100407,4450,,Xi  Hya,,11.550038,-31.857625,39.7456,-209.09,-41.60,-5.0,3.540,0.544,G8III,0.947,-33.524411,3.967590,-20.978114,0.00001325,0.00003900,-0.00000411,3.0237928921519100,-0.5560204497217960,-0.000001013696924673610,-0.000000201682491,Xi,,Hya,1,56174,,52.77156817648120,,,
56392,56561,100841,4467,,Lam Cen,,11.596363,-63.019841,128.7001,-33.84,-6.87,-1.0,3.110,-2.438,B9II:,-0.044,-58.063196,6.158685,-114.692848,0.00000649,0.00002054,-0.00000103,3.0359208544666900,-1.0999037274336200,-0.0000001640609495,-0.000000033306699,Lam,,Cen,1,56392,,822.6213938831100,,,
57190,57363,102249,4520,,Lam Mus,,11.760141,-66.728763,38.9864,-100.42,33.21,16.0,3.630,0.675,A7III,0.160,-15.372609,0.966692,-35.814787,-0.00001102,0.00001971,-0.00001255,3.0787977930633900,-1.164636613192050,-0.0000004868498980138890,0.000000161006623,Lam,,Mus,1,57190,,46.77351412871980,,,
57226,57399,102224,4518,,63Chi UMa,,11.767515,47.779406,56.3063,-138.38,28.37,-9.0,3.690,-0.063,K0III,1.181,-37.766969,2.301619,41.698309,0.00001420,0.00003698,-0.00000161,3.0807281737547500,0.8339079474893590,-0.0000006708851711527780,0.000000137541641,Chi,63,UMa,1,57226,,92.29963848404540,,,
57459,57632,102647,4534,Gl 448,94Bet Leo,Denebola,11.817663,14.572060,10.9999,-499.02,-113.78,-0.2,2.140,1.933,A3Vvar,0.090,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093856965974250,0.2543304303162060,-0.000002419317228708330,-0.000000551621005,Bet,94,Leo,1,57459,,14.682499678319900,,,
57584,57757,102870,4540,Gl 449,5Bet Vir,,11.844922,1.764718,10.9290,740.96,-271.18,4.3,3.590,3.397,F8V,0.518,-10.914853,0.443379,0.336562,-0.00000643,-0.00003903,-0.00001423,3.1009932624101700,0.0308001382197925,0.000003592275447444450,-0.000001314717738,Bet,5,Vir,1,57584,,3.8124135110429900,,,
57828,58001,103287,4554,,64Gam UMa,Phad,11.897168,53.694760,25.5037,107.76,11.16,-13.0,2.410,0.377,A0V SB,0.044,-15.094867,0.406425,20.552678,0.00000862,-0.00001356,-0.00000990,3.1146712453081900,0.9371503534205530,0.0000005224352221666670,0.000000054105206,Gam,64,UMa,1,57828,,61.54602373713160,,,
59016,59196,105435,4621,,Del Cen,,12.139310,-50.722425,127.2265,-47.53,-6.42,11.0,2.580,-2.943,B2IVne,-0.128,-80.490795,-2.936809,-98.484590,-0.00000512,0.00002915,-0.00001122,3.178063913720500,-0.8852733293440830,-0.00000023043194236805600,-0.000000031125038,Del,,Cen,1,59016,,1309.784962399690,Del,2.626,2.496
59134,59316,105707,4630,,2Eps Crv,,12.168746,-22.619766,97.4659,-71.52,10.55,5.0,3.020,-1.924,K2III,1.326,-89.880850,-3.973272,-37.486747,-0.00000812,0.00003347,0.00000263,3.185770142035990,-0.39478939945637400,-0.00000034673874433333300,0.000000051147843,Eps,2,Crv,1,59134,,512.3892386646800,,,
59267,59449,105937,4638,,Rho Cen,,12.194202,-52.368460,116.1440,-42.17,-18.39,15.0,3.970,-1.355,B3V,-0.156,-70.823795,-3.603843,-91.980772,-0.00000237,0.00002365,-0.00001847,3.1924345840981200,-0.9140020551258060,-0.0000002044459290902780,-0.000000089157235,Rho,,Cen,1,59267,,303.3891184194270,,,
59565,59747,106490,4656,,Del Cru,,12.252427,-58.748928,105.8201,-36.68,-10.72,22.0,2.790,-2.333,B2IV,-0.193,-54.778605,-3.625250,-90.466000,-0.00000820,0.00001831,-0.00002209,3.207677761990490,-1.0253622207552300,-0.00000017782965802777800,-0.000000051972026,Del,,Cru,1,59565,,746.7925899308840,Del,2.794,2.784
59592,59774,106591,4660,Gl 459,69Del UMa,Megrez,12.257086,57.032617,24.6853,103.56,7.81,-13.4,3.320,1.358,A3Vvar,0.077,-13.402309,-0.903455,20.710384,0.00000906,-0.00001181,-0.00001099,3.208897599139170,0.995406944309545,0.0000005020730475833330,0.000000037863948,Del,69,UMa,1,59592,,24.9344618809783,,,
59621,59803,106625,4662,,4Gam Crv,Gienah Ghurab,12.263437,-17.541929,47.1032,-159.58,22.31,-4.0,2.580,-0.785,B8III,-0.107,-44.805937,-3.095058,-14.197066,-0.00000015,0.00003652,0.00000609,3.2105604074253800,-0.306164425583095,-0.0000007736656714305560,0.000000108161932,Gam,4,Crv,1,59621,,179.47336268325300,,,
59945,60129,107259,4689,,15Eta Vir,,12.331766,-0.666803,81.3670,-59.14,-23.13,2.0,3.890,-0.662,A2IV,0.026,-81.054806,-7.057860,-0.946921,-0.00000396,0.00002307,-0.00000915,3.2284487342104100,-0.011637912202285,-0.00000028671881068055600,-0.000000112137404,Eta,15,Vir,1,59945,,160.25072388814200,,,
60075,60260,107446,4700,,Eps Cru,,12.356031,-60.401147,70.4722,-171.06,91.82,-5.0,3.590,-0.650,K3/K4III,1.389,-34.656852,-3.239447,-61.275879,-0.00003008,0.00005588,0.00001994,3.234801339430030,-1.0541988798856900,-0.0000008293222819583330,0.000000445155921,Eps,,Cru,1,60075,,158.48931924611100,,,
60530,60718,108248,4730,,Alp1Cru,Acrux,12.443311,-63.099092,98.7167,-35.37,-14.73,-11.0,0.770,-4.202,B0.5IV,-0.243,-44.363755,-5.171957,-88.034513,0.00000934,0.00001813,0.00000684,3.2576512815622600,-1.1012869028642300,-0.0000001714785988125,-0.000000071413055,Alp-1,,Cru,1,60530,,4176.379929509740,,,
60635,60823,108483,4743,,Sig Cen,,12.467331,-50.230635,126.2626,-32.49,-12.41,8.0,3.910,-1.596,B3V,-0.192,-80.166328,-9.857284,-97.048731,-0.00000183,0.00001981,-0.00001115,3.263939693735310,-0.8766899644470490,-0.00000015751596481250000,-0.000000060165377,Sig,,Cen,1,60635,,378.7913037851570,,,
60776,60965,108767,4757,,7Del Crv,Algorab,12.497739,-16.515432,26.6312,-209.97,-139.30,9.0,2.940,0.813,B9.5V,-0.012,-25.316094,-3.317674,-7.570570,-0.00000720,0.00002639,-0.00001986,3.2719004348212600,-0.28824867427274900,-0.0000010179632850625,-0.000000675345457,Del,7,Crv,1,60776,,41.19077848677380,,,
60893,61084,108903,4763,,Gam Cru,Gacrux,12.519429,-57.113212,27.1518,27.94,-264.33,21.0,1.590,-0.579,M4III,1.600,-14.606901,-1.998688,-22.800748,0.00001789,-0.00000126,-0.00003693,3.277578929248250,-0.9968135891950090,0.00000013545694234722200,-0.000001281508001,Gam,,Cru,1,60893,,148.45676750522700,,,
61008,61199,109026,4773,,Gam Mus,,12.541134,-72.132988,99.6016,-50.59,-5.16,3.0,3.840,-1.151,B5V,-0.157,-30.252522,-4.314584,-94.797960,-0.00000203,0.00002438,-0.00000368,3.2832611289116400,-1.2589581458933700,-0.00000024526724099305600,-0.000000025016385,Gam,,Mus,1,61008,,251.42010301590200,Gam,3.85,3.83
61088,61281,109387,4787,,5Kap Dra,,12.558058,69.788238,150.3759,-58.14,11.42,-11.0,3.850,-2.036,B6IIIp,-0.116,-51.400013,-7.563147,141.115978,0.00000540,0.00004363,-0.00000768,3.2876918766316000,1.2180345244500700,-0.000000281870673875,0.000000055365722,Kap,5,Dra,1,61088,,568.0675741067720,Kap,3.859,3.829
61166,61359,109379,4786,,9Bet Crv,Kraz,12.573121,-23.396759,44.6628,0.86,-56.00,-8.0,2.650,-0.600,G5II,0.893,-40.529889,-6.127261,-17.735390,0.00001221,0.00000166,-0.00000788,3.2916353004822300,-0.40835048058703400,0.000000004169397652777780,-0.000000271495661,Bet,9,Crv,1,61166,,151.3561248436210,,,
61392,61585,109668,4798,,Alp Mus,,12.619739,-69.135564,96.7118,-39.87,-12.44,13.0,2.690,-2.237,B2IV-V,-0.176,-33.992375,-5.563974,-90.370102,-0.00000231,0.00001856,-0.00001450,3.3038399426668700,-1.2066432167196800,-0.00000019329521443750000,-0.000000060310821,Alp,,Mus,1,61392,,683.5967668381050,Alp,2.7,2.69
61429,61622,109787,4802,,Tau Cen,,12.628394,-48.541304,40.2414,-186.61,-6.45,5.0,3.850,0.827,A2V,0.049,-26.283342,-4.363283,-30.158275,-0.00000837,0.00003551,-0.00000467,3.306105853780420,-0.8472055736167180,-0.0000009047108092847220,-0.000000031270482,Tau,,Cen,1,61429,,40.66305463404280,,,
61739,61932,110304,4819,,Gam Cen,,12.691971,-48.959888,39.9042,-187.28,-1.20,-6.0,2.200,-0.805,A1IV,-0.023,-25.771821,-4.720403,-30.097707,-0.00000239,0.00003639,0.00000448,3.3227502423582200,-0.854511252905435,-0.0000009079590609444450,-0.000000005817764,Gam,,Cen,1,61739,,182.81002161427400,,,
61748,61941,110379,4825,Gl 482A,29Gam Vir,Porrima,12.694345,-1.449375,11.6850,-616.66,60.66,-19.9,2.740,2.402,F0V+...,0.368,-11.488622,-2.111702,-0.295552,0.00001361,0.00003802,0.00000395,3.3233717735446300,-0.0252963627301925,-0.0000029896520425138900,0.000000294087978,Gam,29,Vir,1,61748,Gl 482,9.532350439205150,,,
62127,62322,110879,4844,,Bet Mus,,12.771346,-68.108119,104.7120,-40.40,-10.32,42.0,3.040,-2.060,B2V,-0.178,-38.249334,-7.830610,-97.161472,-0.00001504,0.00001785,-0.00004181,3.3435305921836400,-1.1887109247867500,-0.00000019586472694444400,-0.000000050032771,Bet,,Mus,1,62127,,580.7644175213120,,,
62239,62434,111123,4853,,Bet Cru,Becrux,12.795359,-59.688764,85.3971,-48.24,-12.82,16.0,1.250,-3.407,B0.5III,-0.238,-42.168771,-8.909619,-73.723149,-0.00000773,0.00001878,-0.00001681,3.349817026601450,-1.0417654498397400,-0.00000023387411950000000,-0.000000062153113,Bet,,Cru,1,62239,,2008.1678041839900,Bet,1.267,1.237
62757,62956,112185,4905,,77Eps UMa,Alioth,12.900472,55.959821,25.3100,111.74,-8.99,-9.0,1.760,-0.256,A0p,-0.022,-13.775959,-3.309169,20.972944,0.00000732,-0.00001234,-0.00000824,3.377335590144560,0.9766831266334460,0.0000005417308066527780,-0.000000043584749,Eps,77,UMa,1,62757,,110.25543321022200,Eps,1.776,1.746
62890,63090,112300,4910,,43Del Vir,,12.926725,3.397470,60.8273,-471.44,-52.81,-18.0,3.390,-0.530,M3III,1.571,-58.941910,-14.587593,3.604756,-0.00001646,0.00013914,-0.00001664,3.384208560950860,0.05929704173659,-0.000002285605615611110,-0.000000256030104,Del,43,Vir,1,62890,,141.90575216890900,,,
62925,63125,112413,4915,,12Alp2CVn,Cor Caroli,12.933807,38.318380,35.1989,-233.43,54.98,-3.0,2.890,0.157,A0spe...,-0.115,-26.795114,-6.684223,21.824384,-0.00000166,0.00004064,0.00000546,3.386062717619970,0.6687818903174090,-0.0000011317005745208300,0.000000266550561,Alp-2,12,CVn,1,62925,,75.37025766884260,Alp-2,2.943,2.863
63405,63608,113226,4932,,47Eps Vir,Vindemiatrix,13.036278,10.959150,33.6022,-275.05,19.96,-14.0,2.850,0.218,G8IIIvar,0.934,-31.782664,-8.840495,6.388060,0.00000213,0.00004710,0.00000047,3.4128895430497500,0.1912732567270880,-0.0000013334800283680600,0.00000009676881,Eps,47,Vir,1,63405,,71.25248247522670,,,
63411,63613,112985,4923,,Del Mus,,13.037759,-71.548855,27.8707,263.58,-23.28,37.0,3.610,1.384,K2III,1.190,-8.497455,-2.367379,-26.438289,0.00000089,-0.00003672,-0.00003689,3.413277236379120,-1.24876309756546,0.0000012778718992083300,-0.000000112864624,Del,,Mus,1,63411,,24.344451836922000,,,
64758,64962,115659,5020,,46Gam Hya,,13.315359,-23.171512,41.0341,68.41,-41.09,-5.0,2.990,-0.076,G8III,0.920,-35.509172,-12.735386,-16.146279,0.00001205,-0.00001014,-0.00000550,3.48595289403409,-0.40441918208698400,0.0000003316610388680560,-0.000000199209941,Gam,46,Hya,1,64758,,93.41142557364790,,,
64904,65109,115892,5028,Gl 508.1,Iot Cen,,13.343296,-36.712295,18.0213,-340.76,-87.98,0.1,2.750,1.471,A2V,0.068,-13.562569,-4.976416,-10.773082,-0.00000602,0.00002950,-0.00000622,3.4932668045528900,-0.640750421216915,-0.0000016520510978611100,-0.000000426539076,Iot,,Cen,1,64904,,22.469841036401600,,,
65173,65378,116656,5054,NN 3783A,79Zet UMa,Mizar,13.398747,54.925362,26.3089,121.23,-22.01,-5.6,2.230,0.129,A2V,0.057,-14.115808,-5.413302,21.531272,0.00000646,-0.00001408,-0.00000630,3.507783854721720,0.9586284043094540,0.0000005877396249375000,-0.000000106707491,Zet,79,UMa,1,65173,NN 3783,77.33925780489970,,2.336,2.196
65269,65474,116658,5056,,67Alp Vir,Spica,13.419883,-11.161322,76.5697,-42.50,-31.73,1.0,0.980,-3.440,B1V,-0.235,-69.990853,-27.285826,-14.821760,-0.00000454,0.00001516,-0.00001175,3.5133172180991300,-0.194801818024575,-0.00000020604581423611100,-0.00000015383138,Alp,67,Vir,1,65269,,2070.1413487910400,Alp,1.001,0.961
65272,65477,116842,5062,NN 3785,80    UMa,Alcor,13.420413,54.987958,25.0564,120.35,-16.94,-8.9,3.990,1.995,A5V SB,0.169,-13.393436,-5.223608,20.521915,0.00000861,-0.00001233,-0.00000864,3.5134558303910700,0.9597209083849260,0.0000005834732645486110,-0.000000082127437,,80,UMa,1,65272,,13.867558288718900,,,
65729,65936,117440,5089,,,,13.517405,-39.407307,277.7778,-15.65,-11.25,-2.0,3.900,-3.318,G8II/III,1.186,-197.912019,-83.036359,-176.341407,0.00000217,0.00002377,-0.00001041,3.538848444108270,-0.6877872582384660,-0.00000007587334100694450,-0.000000054541539,,,Cen,1,65729,,1850.1204347718600,,,
66040,66249,118098,5107,NN 3792,79Zet Vir,,13.578220,-0.595820,22.7118,-278.89,48.56,-13.2,3.380,1.599,A3V,0.114,-20.799365,-9.118725,-0.236175,-0.00000002,0.00003352,0.00000549,3.5547696811523600,-0.01039902302667380,-0.0000013520968737013900,0.000000235425523,Zet,79,Vir,1,66040,,19.971008660281800,,,
66447,66657,118716,5132,,Eps Cen,,13.664796,-53.466394,131.0616,-14.60,-12.79,3.0,2.290,-3.297,B1III,-0.171,-70.726493,-32.938100,-105.309044,0.00000035,0.00001039,-0.00000730,3.577435118650520,-0.9331646085671040,-0.00000007078279736111110,-0.000000062007669,Eps,,Cen,1,66447,,1814.6797793969300,Eps,2.301,2.281
67088,67301,120315,5191,,85Eta UMa,Alkaid,13.792354,49.313265,31.8674,-121.23,-15.56,-11.0,1.850,-0.667,B3V SB,-0.099,-18.529548,-9.394541,24.164506,-0.00000355,0.00001920,-0.00001010,3.6108299012782800,0.8606788389261800,-0.0000005877396249375000,-0.000000075437008,Eta,85,UMa,1,67088,,160.99040762157100,,,
67251,67464,120307,5190,,Nu  Cen,,13.825078,-41.687709,133.8688,-26.01,-20.38,9.0,3.410,-2.223,B2IV,-0.225,-88.774682,-45.969560,-89.032200,-0.00000605,0.00001587,-0.00001600,3.619397055624670,-0.7275877825439950,-0.0000001261000383125,-0.000000098805028,Nu,,Cen,1,67251,,674.8387308707570,Nu,3.427,3.397
67259,67472,120324,5193,,Mu  Cen,,13.826943,-42.473732,155.0388,-23.85,-19.22,9.0,3.470,-2.482,B2IV-Ve,-0.170,-101.522043,-52.633292,-104.690333,-0.00000562,0.00001728,-0.00001687,3.6198851442544500,-0.7413064633354040,-0.00000011562806281250000,-0.000000093181189,Mu,,Cen,1,67259,,856.6432555816560,Mu,3.484,3.424
67711,67927,121370,5235,Gl 534,8Eta Boo,Mufrid,13.911411,18.397717,11.3960,-60.95,-358.10,1.0,2.680,2.396,G0IV,0.580,-9.487671,-5.188142,3.596709,-0.00000795,-0.00000051,-0.00001845,3.64199895242804,0.3211007359693380,-0.00000029549393829861100,-0.00000173611779,Eta,8,Boo,1,67711,,9.585173976856460,,,
67786,68002,121263,5231,,Zet Cen,,13.925667,-47.288375,117.0960,-57.14,-44.75,7.0,2.550,-2.793,B2.5IV,-0.176,-69.545858,-38.367530,-86.039492,-0.00000358,0.00003507,-0.00002249,3.6457311140528000,-0.8253378423485670,-0.0000002770225370694450,-0.000000216954122,Zet,,Cen,1,67786,,1140.7750129221200,,,
68027,68245,121743,5248,,Phi Cen,,13.971186,-42.100753,161.0306,-23.68,-19.82,6.0,3.830,-2.205,B2IV,-0.224,-103.919940,-58.957456,-107.960807,-0.00000406,0.00001895,-0.00001559,3.657648026466050,-0.7347967637881210,-0.00000011480387955555600,-0.000000096090071,Phi,,Cen,1,68027,,663.7430704019090,,,
68064,68282,121790,5249,,Ups1Cen,,13.977987,-44.803584,131.0616,-27.97,-21.69,5.0,3.870,-1.717,B2IV-V,-0.208,-80.799834,-46.030955,-92.356336,-0.00000351,0.00001845,-0.00001338,3.6594285674791200,-0.7819700581157610,-0.00000013560238645138900,-0.000000105156087,Ups-1,,Cen,1,68064,,423.44791616920800,,,
68483,68702,122451,5267,,Bet Cen,Hadar,14.063729,-60.373039,120.1923,-33.96,-25.06,6.0,0.610,-4.789,B1III,-0.231,-50.954051,-30.562870,-104.478695,-0.00000189,0.00002194,-0.00001255,3.681875660376150,-1.053708314075200,-0.0000001646427259166670,-0.000000121494308,Bet,,Cen,1,68483,,7171.33482657721,Bet,0.634,0.594
